current_path	case_id	target	status	physical_pass	regenerable_by_run_new_test_case	unique_failure_reason	required_by_route_c	future_retention_granularity	recommendation	reason
06_leap_to_wuji2_final_pipeline/01_cases/live_dynamic_scene0000_ashtray_candidate736	live_dynamic_scene0000_ashtray_candidate736	sem-Ashtray-2b210ae3bfa1abe43da807e9c1c58ac0	UNKNOWN	false	true	false	false	METADATA_SUMMARY_RESULT_ONLY_CANDIDATE	ARCHIVE_CANDIDATE	Regenerable from official dataset/cache and run_new_test_case.py
06_leap_to_wuji2_final_pipeline/01_cases/live_dynamic_scene0000_ashtray_candidate747	live_dynamic_scene0000_ashtray_candidate747	sem-Ashtray-2b210ae3bfa1abe43da807e9c1c58ac0	UNKNOWN	false	true	false	false	METADATA_SUMMARY_RESULT_ONLY_CANDIDATE	ARCHIVE_CANDIDATE	Regenerable from official dataset/cache and run_new_test_case.py
06_leap_to_wuji2_final_pipeline/01_cases/live_dynamic_scene0000_ashtray_candidate768	live_dynamic_scene0000_ashtray_candidate768	sem-Ashtray-2b210ae3bfa1abe43da807e9c1c58ac0	UNKNOWN	false	true	false	false	METADATA_SUMMARY_RESULT_ONLY_CANDIDATE	ARCHIVE_CANDIDATE	Regenerable from official dataset/cache and run_new_test_case.py
06_leap_to_wuji2_final_pipeline/01_cases/live_dynamic_scene0000_ashtray_candidate779	live_dynamic_scene0000_ashtray_candidate779	sem-Ashtray-2b210ae3bfa1abe43da807e9c1c58ac0	UNKNOWN	false	true	false	false	METADATA_SUMMARY_RESULT_ONLY_CANDIDATE	ARCHIVE_CANDIDATE	Regenerable from official dataset/cache and run_new_test_case.py
06_leap_to_wuji2_final_pipeline/01_cases/live_dynamic_scene0000_ashtray_candidate780	live_dynamic_scene0000_ashtray_candidate780	sem-Ashtray-2b210ae3bfa1abe43da807e9c1c58ac0	UNKNOWN	false	true	false	false	METADATA_SUMMARY_RESULT_ONLY_CANDIDATE	ARCHIVE_CANDIDATE	Regenerable from official dataset/cache and run_new_test_case.py
06_leap_to_wuji2_final_pipeline/01_cases/live_dynamic_scene0000_ashtray_candidate98	live_dynamic_scene0000_ashtray_candidate98	sem-Ashtray-2b210ae3bfa1abe43da807e9c1c58ac0	UNKNOWN	false	true	false	false	METADATA_SUMMARY_RESULT_ONLY_CANDIDATE	ARCHIVE_CANDIDATE	Regenerable from official dataset/cache and run_new_test_case.py
06_leap_to_wuji2_final_pipeline/01_cases/live_dynamic_scene0000_dog_candidate34	live_dynamic_scene0000_dog_candidate34	sem-Dog-2526b1f358f773034203f59b4fda924b	UNKNOWN	false	true	false	false	METADATA_SUMMARY_RESULT_ONLY_CANDIDATE	ARCHIVE_CANDIDATE	Regenerable from official dataset/cache and run_new_test_case.py
06_leap_to_wuji2_final_pipeline/01_cases/live_dynamic_scene0000_dog_candidate3800	live_dynamic_scene0000_dog_candidate3800	sem-Dog-2526b1f358f773034203f59b4fda924b	UNKNOWN	false	true	false	true	FULL_CASE_UNTIL_C_BASELINE_INDEXED	KEEP_DIAGNOSTIC	Required provenance for route C
06_leap_to_wuji2_final_pipeline/01_cases/live_scene0000_ashtray_armreachable_candidate0336	live_scene0000_ashtray_armreachable_candidate0336	sem-Ashtray-2b210ae3bfa1abe43da807e9c1c58ac0	UNKNOWN	false	true	false	false	METADATA_SUMMARY_RESULT_ONLY_CANDIDATE	ARCHIVE_CANDIDATE	Regenerable from official dataset/cache and run_new_test_case.py
06_leap_to_wuji2_final_pipeline/01_cases/live_scene0000_ashtray_fullflow_candidate0191	live_scene0000_ashtray_fullflow_candidate0191	sem-Ashtray-2b210ae3bfa1abe43da807e9c1c58ac0	manual_gui_ab_branch_complete	true	true	false	false	METADATA_SUMMARY_RESULT_ONLY_CANDIDATE	ARCHIVE_CANDIDATE	Regenerable from official dataset/cache and run_new_test_case.py
06_leap_to_wuji2_final_pipeline/01_cases/live_scene0000_ashtray_fullflow_candidate0597	live_scene0000_ashtray_fullflow_candidate0597	sem-Ashtray-2b210ae3bfa1abe43da807e9c1c58ac0	UNKNOWN	false	true	false	false	METADATA_SUMMARY_RESULT_ONLY_CANDIDATE	ARCHIVE_CANDIDATE	Regenerable from official dataset/cache and run_new_test_case.py
06_leap_to_wuji2_final_pipeline/01_cases/live_scene0000_ashtray_isaaclab_candidate0274	live_scene0000_ashtray_isaaclab_candidate0274	sem-Ashtray-2b210ae3bfa1abe43da807e9c1c58ac0	manual_gui_ab_branch_complete	true	true	false	false	METADATA_SUMMARY_RESULT_ONLY_CANDIDATE	ARCHIVE_CANDIDATE	Regenerable from official dataset/cache and run_new_test_case.py
06_leap_to_wuji2_final_pipeline/01_cases/live_scene0000_ashtray_official_best	live_scene0000_ashtray_official_best	sem-Ashtray-2b210ae3bfa1abe43da807e9c1c58ac0	UNKNOWN	false	true	false	false	METADATA_SUMMARY_RESULT_ONLY_CANDIDATE	ARCHIVE_CANDIDATE	Regenerable from official dataset/cache and run_new_test_case.py
06_leap_to_wuji2_final_pipeline/01_cases/scene0001_view0001_official_rank0	scene0001_view0001_official_rank0	sem-Battery-1d8fb5872696c64b62fb74d013fec4f1	manual_gui_ab_branch_complete	true	true	false	false	METADATA_SUMMARY_RESULT_ONLY_CANDIDATE	ARCHIVE_CANDIDATE	Regenerable from official dataset/cache and run_new_test_case.py
06_leap_to_wuji2_final_pipeline/01_cases/scene0002_view0007_official_rank0	scene0002_view0007_official_rank0	sem-Ashtray-2b210ae3bfa1abe43da807e9c1c58ac0	manual_gui_ab_branch_complete	true	true	false	false	METADATA_SUMMARY_RESULT_ONLY_CANDIDATE	ARCHIVE_CANDIDATE	Regenerable from official dataset/cache and run_new_test_case.py
06_leap_to_wuji2_final_pipeline/01_cases/scene0003_view0005_official_rank0	scene0003_view0005_official_rank0	sem-Flashlight-5c7bf45b0f847489181be2d6e974dccd	manual_gui_ab_branch_complete	true	true	false	false	METADATA_SUMMARY_RESULT_ONLY_CANDIDATE	ARCHIVE_CANDIDATE	Regenerable from official dataset/cache and run_new_test_case.py
06_leap_to_wuji2_final_pipeline/01_cases/scene0006_view0005_official_rank0	scene0006_view0005_official_rank0	sem-Battery-1d8fb5872696c64b62fb74d013fec4f1	manual_gui_ab_branch_complete	true	true	false	false	METADATA_SUMMARY_RESULT_ONLY_CANDIDATE	ARCHIVE_CANDIDATE	Regenerable from official dataset/cache and run_new_test_case.py
06_leap_to_wuji2_final_pipeline/01_cases/scene0009_view0004_official_rank0_pinky_ring	scene0009_view0004_official_rank0_pinky_ring	sem-Canister-714320da4aafcb4a47be2353d2b2403b	manual_gui_ab_branch_complete	true	true	false	false	METADATA_SUMMARY_RESULT_ONLY_CANDIDATE	ARCHIVE_CANDIDATE	Regenerable from official dataset/cache and run_new_test_case.py
