current_path	group	classification	metadata_status	metadata_path	reason
08_dual_arm_scene_layout/isaaclab_control/outputs/scene0002_view0007_official_rank0_lift_gate	outputs	FAILED_HISTORY	FAIL	08_dual_arm_scene_layout/isaaclab_control/outputs/scene0002_view0007_official_rank0_lift_gate/report.json	Historical/failed diagnostic; retain summary before any deletion
08_dual_arm_scene_layout/isaaclab_control/outputs/scene0003_view0005_official_rank0_lift_gate	outputs	FAILED_HISTORY	FAIL	08_dual_arm_scene_layout/isaaclab_control/outputs/scene0003_view0005_official_rank0_lift_gate/report.json	Historical/failed diagnostic; retain summary before any deletion
08_dual_arm_scene_layout/isaaclab_control/outputs/short_motion	outputs	FAILED_HISTORY	FAIL	08_dual_arm_scene_layout/isaaclab_control/outputs/short_motion/report.json	Historical/failed diagnostic; retain summary before any deletion
08_dual_arm_scene_layout/isaaclab_control/outputs/short_motion_ft04_gate0_zero	outputs	VERIFIED_DIAGNOSTIC	PASS	08_dual_arm_scene_layout/isaaclab_control/outputs/short_motion_ft04_gate0_zero/report.json	Small unique diagnostic; not a business case
08_dual_arm_scene_layout/isaaclab_control/outputs/short_motion_ft04_gate1_z1	outputs	VERIFIED_DIAGNOSTIC	PASS	08_dual_arm_scene_layout/isaaclab_control/outputs/short_motion_ft04_gate1_z1/report.json	Small unique diagnostic; not a business case
08_dual_arm_scene_layout/isaaclab_control/outputs/short_motion_ft04_z20	outputs	FAILED_HISTORY	FAIL	08_dual_arm_scene_layout/isaaclab_control/outputs/short_motion_ft04_z20/report.json	Historical/failed diagnostic; retain summary before any deletion
08_dual_arm_scene_layout/isaaclab_control/outputs/short_motion_ft04_z20_fixed	outputs	VERIFIED_DIAGNOSTIC	PASS	08_dual_arm_scene_layout/isaaclab_control/outputs/short_motion_ft04_z20_fixed/report.json	Required control diagnostic baseline
08_dual_arm_scene_layout/isaaclab_control/report_demo/README.md	report_demo	REVIEW	N/A		Classified by role/name only; verify consumers before Phase 3 move
08_dual_arm_scene_layout/isaaclab_control/report_demo/assets	report_demo	REVIEW	N/A		Classified by role/name only; verify consumers before Phase 3 move
08_dual_arm_scene_layout/isaaclab_control/report_demo/launch_interactive_demo.sh	report_demo	ACTIVE	N/A		Classified by role/name only; verify consumers before Phase 3 move
08_dual_arm_scene_layout/isaaclab_control/report_demo/results	report_demo	REVIEW	N/A		Classified by role/name only; verify consumers before Phase 3 move
08_dual_arm_scene_layout/isaaclab_control/report_demo/scripts	report_demo	REVIEW	N/A		Classified by role/name only; verify consumers before Phase 3 move
