current_path	route	case_id	target	status_from_metadata	real_physics_pass	unique_algorithm_or_diagnostic_value	regenerable_from_existing_code	formal_representative	recommendation	authoritative_metadata	reason
06_leap_to_wuji2_final_pipeline/01_cases/live_dynamic_scene0000_dog_candidate34	B	live_dynamic_scene0000_dog_candidate34	sem-Dog-2526b1f358f773034203f59b4fda924b	UNKNOWN	false	false	true	false	ARCHIVE_CANDIDATE	06_leap_to_wuji2_final_pipeline/01_cases/live_dynamic_scene0000_dog_candidate34/case.json	Regenerable from official dataset/cache and run_new_test_case.py
06_leap_to_wuji2_final_pipeline/01_cases/live_dynamic_scene0000_dog_candidate3800	B	live_dynamic_scene0000_dog_candidate3800	sem-Dog-2526b1f358f773034203f59b4fda924b	UNKNOWN	false	true	true	false	KEEP_DIAGNOSTIC	06_leap_to_wuji2_final_pipeline/01_cases/live_dynamic_scene0000_dog_candidate3800/case.json	Required provenance for route C
06_leap_to_wuji2_final_pipeline/01_cases/live_scene0000_ashtray_armreachable_candidate0336	B	live_scene0000_ashtray_armreachable_candidate0336	sem-Ashtray-2b210ae3bfa1abe43da807e9c1c58ac0	UNKNOWN	false	false	true	false	ARCHIVE_CANDIDATE	06_leap_to_wuji2_final_pipeline/01_cases/live_scene0000_ashtray_armreachable_candidate0336/case.json	Regenerable from official dataset/cache and run_new_test_case.py
06_leap_to_wuji2_final_pipeline/01_cases/live_scene0000_ashtray_fullflow_candidate0191	B	live_scene0000_ashtray_fullflow_candidate0191	sem-Ashtray-2b210ae3bfa1abe43da807e9c1c58ac0	manual_gui_ab_branch_complete	true	false	true	false	ARCHIVE_CANDIDATE	06_leap_to_wuji2_final_pipeline/01_cases/live_scene0000_ashtray_fullflow_candidate0191/06_isaacsim/final_result.json	Regenerable from official dataset/cache and run_new_test_case.py
06_leap_to_wuji2_final_pipeline/01_cases/live_scene0000_ashtray_fullflow_candidate0597	B	live_scene0000_ashtray_fullflow_candidate0597	sem-Ashtray-2b210ae3bfa1abe43da807e9c1c58ac0	UNKNOWN	false	false	true	false	ARCHIVE_CANDIDATE	06_leap_to_wuji2_final_pipeline/01_cases/live_scene0000_ashtray_fullflow_candidate0597/case.json	Regenerable from official dataset/cache and run_new_test_case.py
06_leap_to_wuji2_final_pipeline/01_cases/live_scene0000_ashtray_isaaclab_candidate0274	B	live_scene0000_ashtray_isaaclab_candidate0274	sem-Ashtray-2b210ae3bfa1abe43da807e9c1c58ac0	manual_gui_ab_branch_complete	true	false	true	false	ARCHIVE_CANDIDATE	06_leap_to_wuji2_final_pipeline/01_cases/live_scene0000_ashtray_isaaclab_candidate0274/06_isaacsim/final_result.json	Regenerable from official dataset/cache and run_new_test_case.py
06_leap_to_wuji2_final_pipeline/01_cases/live_scene0000_ashtray_official_best	B	live_scene0000_ashtray_official_best	sem-Ashtray-2b210ae3bfa1abe43da807e9c1c58ac0	UNKNOWN	false	false	true	false	ARCHIVE_CANDIDATE	06_leap_to_wuji2_final_pipeline/01_cases/live_scene0000_ashtray_official_best/case.json	Regenerable from official dataset/cache and run_new_test_case.py
06_leap_to_wuji2_final_pipeline/01_cases/scene0001_view0001_official_rank0	B	scene0001_view0001_official_rank0	sem-Battery-1d8fb5872696c64b62fb74d013fec4f1	manual_gui_ab_branch_complete	true	false	true	false	ARCHIVE_CANDIDATE	06_leap_to_wuji2_final_pipeline/01_cases/scene0001_view0001_official_rank0/06_isaacsim/final_result.json	Regenerable from official dataset/cache and run_new_test_case.py
06_leap_to_wuji2_final_pipeline/01_cases/scene0002_view0007_official_rank0	B	scene0002_view0007_official_rank0	sem-Ashtray-2b210ae3bfa1abe43da807e9c1c58ac0	manual_gui_ab_branch_complete	true	false	true	false	ARCHIVE_CANDIDATE	06_leap_to_wuji2_final_pipeline/01_cases/scene0002_view0007_official_rank0/06_isaacsim/final_result.json	Regenerable from official dataset/cache and run_new_test_case.py
06_leap_to_wuji2_final_pipeline/01_cases/scene0003_view0005_official_rank0	B	scene0003_view0005_official_rank0	sem-Flashlight-5c7bf45b0f847489181be2d6e974dccd	manual_gui_ab_branch_complete	true	false	true	false	ARCHIVE_CANDIDATE	06_leap_to_wuji2_final_pipeline/01_cases/scene0003_view0005_official_rank0/06_isaacsim/final_result.json	Regenerable from official dataset/cache and run_new_test_case.py
06_leap_to_wuji2_final_pipeline/01_cases/scene0006_view0005_official_rank0	B	scene0006_view0005_official_rank0	sem-Battery-1d8fb5872696c64b62fb74d013fec4f1	manual_gui_ab_branch_complete	true	false	true	false	ARCHIVE_CANDIDATE	06_leap_to_wuji2_final_pipeline/01_cases/scene0006_view0005_official_rank0/06_isaacsim/final_result.json	Regenerable from official dataset/cache and run_new_test_case.py
06_leap_to_wuji2_final_pipeline/01_cases/scene0009_view0004_official_rank0_pinky_ring	B	scene0009_view0004_official_rank0_pinky_ring	sem-Canister-714320da4aafcb4a47be2353d2b2403b	manual_gui_ab_branch_complete	true	false	true	false	ARCHIVE_CANDIDATE	06_leap_to_wuji2_final_pipeline/01_cases/scene0009_view0004_official_rank0_pinky_ring/06_isaacsim/final_result.json	Regenerable from official dataset/cache and run_new_test_case.py
06_leap_to_wuji2_final_pipeline/04_verified_baseline/scene0001_view0001_official_rank0	B	scene0001_view0001_official_rank0	sem-Battery-1d8fb5872696c64b62fb74d013fec4f1	VERIFIED_SUCCESS_BASELINE	true	true	false	true	KEEP_VERIFIED	06_leap_to_wuji2_final_pipeline/04_verified_baseline/scene0001_view0001_official_rank0/manifest.json	Immutable Battery candidate49 baseline
08_dual_arm_scene_layout/isaaclab_control/outputs/accel_nf_scan	C	accel_nf_scan	control_diagnostic	UNKNOWN	false	false	false	true	ARCHIVE_CANDIDATE		Historical/failed diagnostic; retain summary before any deletion
08_dual_arm_scene_layout/isaaclab_control/outputs/diagnostic_grouped_pd_zero_gravity	C	diagnostic_grouped_pd_zero_gravity	control_diagnostic	PASS	true	true	false	false	KEEP_DIAGNOSTIC	08_dual_arm_scene_layout/isaaclab_control/outputs/diagnostic_grouped_pd_zero_gravity/report.json	Small unique diagnostic; not a business case
08_dual_arm_scene_layout/isaaclab_control/outputs/explicit_pd	C	explicit_pd	control_diagnostic	UNKNOWN	false	false	false	false	ARCHIVE_CANDIDATE		Historical/failed diagnostic; retain summary before any deletion
08_dual_arm_scene_layout/isaaclab_control/outputs/force_nf_finetune	C	force_nf_finetune	control_diagnostic	UNKNOWN	false	true	false	true	KEEP_DIAGNOSTIC	08_dual_arm_scene_layout/isaaclab_control/outputs/force_nf_finetune/summary.json	Required control diagnostic baseline
08_dual_arm_scene_layout/isaaclab_control/outputs/force_nf_scan	C	force_nf_scan	control_diagnostic	UNKNOWN	false	false	false	true	ARCHIVE_CANDIDATE		Historical/failed diagnostic; retain summary before any deletion
08_dual_arm_scene_layout/isaaclab_control/outputs/full_pick_place_25s_dog_candidate3800	C	full_pick_place_25s_dog_candidate3800	sem-Dog-2526b1f358f773034203f59b4fda924b segmentation 33	PASS	true	true	false	true	KEEP_VERIFIED	08_dual_arm_scene_layout/isaaclab_control/outputs/full_pick_place_25s_dog_candidate3800/report.json	Canonical route-C 24.85 s full pick-place
08_dual_arm_scene_layout/isaaclab_control/outputs/full_pick_place_live_dog_candidate3800	C	full_pick_place_live_dog_candidate3800	sem-Dog-2526b1f358f773034203f59b4fda924b segmentation 33	PASS	true	true	false	false	ARCHIVE_CANDIDATE	08_dual_arm_scene_layout/isaaclab_control/outputs/full_pick_place_live_dog_candidate3800/report.json	PASS but superseded or diagnostic
08_dual_arm_scene_layout/isaaclab_control/outputs/full_pick_place_scene0000_ashtray_candidate0597	C	full_pick_place_scene0000_ashtray_candidate0597	ashtray segmentation 14	FAIL	false	false	false	false	ARCHIVE_CANDIDATE	08_dual_arm_scene_layout/isaaclab_control/outputs/full_pick_place_scene0000_ashtray_candidate0597/report.json	Historical/failed diagnostic; retain summary before any deletion
08_dual_arm_scene_layout/isaaclab_control/outputs/full_pick_place_scene0000_ashtray_candidate0597_lift_gate	C	full_pick_place_scene0000_ashtray_candidate0597_lift_gate	ashtray segmentation 14	FAIL	false	false	false	false	ARCHIVE_CANDIDATE	08_dual_arm_scene_layout/isaaclab_control/outputs/full_pick_place_scene0000_ashtray_candidate0597_lift_gate/report.json	Historical/failed diagnostic; retain summary before any deletion
08_dual_arm_scene_layout/isaaclab_control/outputs/initial_stability	C	initial_stability	control_diagnostic	FAIL	false	false	false	false	ARCHIVE_CANDIDATE	08_dual_arm_scene_layout/isaaclab_control/outputs/initial_stability/report.json	Historical/failed diagnostic; retain summary before any deletion
08_dual_arm_scene_layout/isaaclab_control/outputs/initial_stability_grouped_pd_round1	C	initial_stability_grouped_pd_round1	control_diagnostic	FAIL	false	false	false	false	ARCHIVE_CANDIDATE	08_dual_arm_scene_layout/isaaclab_control/outputs/initial_stability_grouped_pd_round1/report.json	Historical/failed diagnostic; retain summary before any deletion
08_dual_arm_scene_layout/isaaclab_control/outputs/initial_stability_grouped_pd_round1_mass_fixed	C	initial_stability_grouped_pd_round1_mass_fixed	control_diagnostic	FAIL	false	false	false	false	ARCHIVE_CANDIDATE	08_dual_arm_scene_layout/isaaclab_control/outputs/initial_stability_grouped_pd_round1_mass_fixed/report.json	Historical/failed diagnostic; retain summary before any deletion
08_dual_arm_scene_layout/isaaclab_control/outputs/initial_stability_grouped_pd_round2	C	initial_stability_grouped_pd_round2	control_diagnostic	FAIL	false	false	false	false	ARCHIVE_CANDIDATE	08_dual_arm_scene_layout/isaaclab_control/outputs/initial_stability_grouped_pd_round2/report.json	Historical/failed diagnostic; retain summary before any deletion
08_dual_arm_scene_layout/isaaclab_control/outputs/live_dynamic_scene0000_dog_candidate3800_lift_gate	C	live_dynamic_scene0000_dog_candidate3800_lift_gate	sem-Dog-2526b1f358f773034203f59b4fda924b segmentation 33	PASS	true	true	false	false	ARCHIVE_CANDIDATE	08_dual_arm_scene_layout/isaaclab_control/outputs/live_dynamic_scene0000_dog_candidate3800_lift_gate/report.json	Stage-only result covered by full pick-place baseline; keep summary/reference
08_dual_arm_scene_layout/isaaclab_control/outputs/live_scene0000_ashtray_fullflow_candidate0191_lift_gate	C	live_scene0000_ashtray_fullflow_candidate0191_lift_gate	ashtray segmentation 14	FAIL	false	false	false	false	ARCHIVE_CANDIDATE	08_dual_arm_scene_layout/isaaclab_control/outputs/live_scene0000_ashtray_fullflow_candidate0191_lift_gate/report.json	Historical/failed diagnostic; retain summary before any deletion
08_dual_arm_scene_layout/isaaclab_control/outputs/mass_tree_audit_round1_mass_fixed	C	mass_tree_audit_round1_mass_fixed	control_diagnostic	UNKNOWN	false	true	false	true	KEEP_DIAGNOSTIC	08_dual_arm_scene_layout/isaaclab_control/outputs/mass_tree_audit_round1_mass_fixed/report.json	Required control diagnostic baseline
08_dual_arm_scene_layout/isaaclab_control/outputs/pregrasp_candidate0336_dry	C	pregrasp_candidate0336_dry	control_diagnostic	FAIL	false	false	false	false	ARCHIVE_CANDIDATE	08_dual_arm_scene_layout/isaaclab_control/outputs/pregrasp_candidate0336_dry/report.json	Historical/failed diagnostic; retain summary before any deletion
08_dual_arm_scene_layout/isaaclab_control/outputs/report_demo_20s_dog_candidate3800	C	report_demo_20s_dog_candidate3800	sem-Dog-2526b1f358f773034203f59b4fda924b segmentation 33	PASS	true	true	false	false	ARCHIVE_CANDIDATE	08_dual_arm_scene_layout/isaaclab_control/outputs/report_demo_20s_dog_candidate3800/report.json	Stage-only result covered by full pick-place baseline; keep summary/reference
08_dual_arm_scene_layout/isaaclab_control/outputs/scene0002_view0007_official_rank0_lift_gate	C	scene0002_view0007_official_rank0_lift_gate	sem-Ashtray-2b210ae3bfa1abe43da807e9c1c58ac0 segmentation 14	FAIL	false	false	false	false	ARCHIVE_CANDIDATE	08_dual_arm_scene_layout/isaaclab_control/outputs/scene0002_view0007_official_rank0_lift_gate/report.json	Historical/failed diagnostic; retain summary before any deletion
08_dual_arm_scene_layout/isaaclab_control/outputs/scene0003_view0005_official_rank0_lift_gate	C	scene0003_view0005_official_rank0_lift_gate	sem-Flashlight-5c7bf45b0f847489181be2d6e974dccd segmentation 10	FAIL	false	false	false	false	ARCHIVE_CANDIDATE	08_dual_arm_scene_layout/isaaclab_control/outputs/scene0003_view0005_official_rank0_lift_gate/report.json	Historical/failed diagnostic; retain summary before any deletion
08_dual_arm_scene_layout/isaaclab_control/outputs/short_motion	C	short_motion	control_diagnostic	FAIL	false	false	false	false	ARCHIVE_CANDIDATE	08_dual_arm_scene_layout/isaaclab_control/outputs/short_motion/report.json	Historical/failed diagnostic; retain summary before any deletion
08_dual_arm_scene_layout/isaaclab_control/outputs/short_motion_ft04_gate0_zero	C	short_motion_ft04_gate0_zero	control_diagnostic	PASS	true	true	false	false	KEEP_DIAGNOSTIC	08_dual_arm_scene_layout/isaaclab_control/outputs/short_motion_ft04_gate0_zero/report.json	Small unique diagnostic; not a business case
08_dual_arm_scene_layout/isaaclab_control/outputs/short_motion_ft04_gate1_z1	C	short_motion_ft04_gate1_z1	control_diagnostic	PASS	true	true	false	false	KEEP_DIAGNOSTIC	08_dual_arm_scene_layout/isaaclab_control/outputs/short_motion_ft04_gate1_z1/report.json	Small unique diagnostic; not a business case
08_dual_arm_scene_layout/isaaclab_control/outputs/short_motion_ft04_z20	C	short_motion_ft04_z20	control_diagnostic	FAIL	false	false	false	false	ARCHIVE_CANDIDATE	08_dual_arm_scene_layout/isaaclab_control/outputs/short_motion_ft04_z20/report.json	Historical/failed diagnostic; retain summary before any deletion
08_dual_arm_scene_layout/isaaclab_control/outputs/short_motion_ft04_z20_fixed	C	short_motion_ft04_z20_fixed	control_diagnostic	PASS	true	true	false	true	KEEP_DIAGNOSTIC	08_dual_arm_scene_layout/isaaclab_control/outputs/short_motion_ft04_z20_fixed/report.json	Required control diagnostic baseline
